state_id,state_name,County,County_last_updated,State_last_updated,NYT_Meta_LastUpdate,filedateJSON,Total_Votes,Total_Absentee,Total_Other_Votes,Total_Delta,Absentee_Delta,Other_Delta,Trump_Votes,Trump_Absentee,Trump_Other_Votes,Trump_V_Delta,Trump_A_Delta,Trump_O_Delta,Biden_Votes,Biden_Absentee,Biden_Other_Votes,Biden_V_Delta,Biden_A_Delta,Biden_O_Delta,JJorg_Votes,JJorg_Absentee,Jorg_Other_Votes,Jorg_V_Delta,Jorg_A_Delta,Jorg_O_Delta,Precincts_reporting,Precincts_Total
PA,Pennsylvania,Adams,2020-11-03T06:56:36Z,2020-11-03T15:26:50Z,2020-11-03T23:35:18.541Z,2020-11-03T23:36:03,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,50
PA,Pennsylvania,Adams,2020-11-04T00:39:25Z,2020-11-04T02:11:01Z,2020-11-04T02:11:55.725Z,2020-11-04T02:12:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
PA,Pennsylvania,Adams,2020-11-04T02:31:54Z,2020-11-04T02:36:06Z,2020-11-04T02:36:29.738Z,2020-11-04T02:37:09,5307,0,5307,5307,0,5307,3830,0,3830,3830,0,3830,1370,0,1370,1370,0,1370,89,0,89,89,0,89,5,50
PA,Pennsylvania,Adams,2020-11-04T02:51:25Z,2020-11-04T02:52:11Z,2020-11-04T02:54:14.585Z,2020-11-04T02:55:04,20890,0,20890,15583,0,15583,16600,0,16600,12770,0,12770,3921,0,3921,2551,0,2551,340,0,340,251,0,251,18,50
PA,Pennsylvania,Adams,2020-11-04T03:00:53Z,2020-11-04T03:09:00Z,2020-11-04T03:09:50.458Z,2020-11-04T03:10:22,20910,0,20910,20,0,20,16600,0,16600,0,0,0,3921,0,3921,0,0,0,340,0,340,0,0,0,19,50
PA,Pennsylvania,Adams,2020-11-04T03:12:08Z,2020-11-04T03:34:13Z,2020-11-04T03:35:08.046Z,2020-11-04T03:35:49,27332,0,27332,6422,0,6422,21742,0,21742,5142,0,5142,5098,0,5098,1177,0,1177,422,0,422,82,0,82,25,50
PA,Pennsylvania,Adams,2020-11-04T04:27:27Z,2020-11-04T04:57:06Z,2020-11-04T04:59:21.578Z,2020-11-04T05:00:00,37193,0,37193,9861,0,9861,29944,0,29944,8202,0,8202,6611,0,6611,1513,0,1513,544,0,544,122,0,122,34,50
PA,Pennsylvania,Adams,2020-11-04T10:43:49Z,2020-11-04T17:59:51Z,2020-11-04T18:16:31.344Z,2020-11-04T18:17:24Z,37193,0,37193,0,0,0,29944,0,29944,0,0,0,6611,0,6611,0,0,0,544,0,544,0,0,0,34,50
PA,Pennsylvania,Adams,2020-11-04T21:16:51Z,2020-11-07T23:04:43Z,2020-11-08T02:22:55.630Z,2020-11-08T02:29:52Z,55814,0,55814,18621,0,18621,37009,0,37009,7065,0,7065,17919,0,17919,11308,0,11308,792,0,792,248,0,248,50,50
PA,Pennsylvania,Adams,2020-11-09T18:50:38Z,2020-11-09T23:31:38Z,2020-11-09T23:51:44.894Z,2020-11-09T23:53:06Z,56504,0,56504,690,0,690,37481,0,37481,472,0,472,18123,0,18123,204,0,204,806,0,806,14,0,14,50,50
PA,Pennsylvania,Adams,2020-11-10T20:14:46Z,2020-11-10T23:42:48Z,2020-11-11T00:44:22.043Z,2020-11-11T00:46:12,56721,0,56721,217,0,217,37563,0,37563,82,0,82,18250,0,18250,127,0,127,814,0,814,8,0,8,50,50
PA,Pennsylvania,Adams,2020-11-11T03:14:21Z,2020-11-11T03:13:44Z,2020-11-11T03:15:21.016Z,2020-11-11T03:16:40Z,56721,0,56721,0,0,0,37563,0,37563,0,0,0,18250,0,18250,0,0,0,814,0,814,0,0,0,50,50
PA,Pennsylvania,Adams,2020-11-11T03:23:05Z,2020-11-11T03:22:41Z,2020-11-11T03:23:42.270Z,2020-11-11T03:24:39Z,56721,0,56721,0,0,0,37563,0,37563,0,0,0,18250,0,18250,0,0,0,814,0,814,0,0,0,50,50
PA,Pennsylvania,Adams,2020-11-11T03:25:33Z,2020-11-11T03:25:18Z,2020-11-11T05:17:42.618Z,2020-11-11T05:23:44Z,56721,0,56721,0,0,0,37563,0,37563,0,0,0,18250,0,18250,0,0,0,814,0,814,0,0,0,50,50
PA,Pennsylvania,Adams,2020-11-11T03:25:33Z,2020-11-12T02:36:41Z,2020-11-12T05:34:40.992Z,2020-11-12T05:39:13,56627,0,56627,-94,0,-94,37563,0,37563,0,0,0,18250,0,18250,0,0,0,814,0,814,0,0,0,50,50
PA,Pennsylvania,Adams,2020-11-12T19:18:46Z,2020-11-12T22:16:51Z,2020-11-13T00:06:46.837Z,2020-11-13T00:07:37,56635,0,56635,8,0,8,37567,0,37567,4,0,4,18254,0,18254,4,0,4,814,0,814,0,0,0,50,50
PA,Pennsylvania,Adams,2020-11-14T16:39:11Z,2020-11-14T22:00:28Z,2020-11-15T00:45:46.698Z,2020-11-15T00:59:30,56635,0,56635,0,0,0,37567,0,37567,0,0,0,18254,0,18254,0,0,0,814,0,814,0,0,0,50,50
PA,Pennsylvania,Adams,2020-11-16T15:48:13Z,2020-11-16T22:32:45Z,2020-11-17T00:14:33.359Z,2020-11-17T00:15:24,56635,0,56635,0,0,0,37567,0,37567,0,0,0,18254,0,18254,0,0,0,814,0,814,0,0,0,50,50
PA,Pennsylvania,Allegheny,2020-11-03T06:56:38Z,2020-11-03T15:26:50Z,2020-11-03T22:48:44.121Z,2020-11-03T22:52:32,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,1323
PA,Pennsylvania,Allegheny,2020-11-04T01:04:52Z,2020-11-04T01:04:55Z,2020-11-04T01:11:12.060Z,2020-11-04T01:11:48,64535,64535,0,64535,64535,0,12147,12147,0,12147,12147,0,51555,51555,0,51555,51555,0,564,564,0,564,564,0,113,1323
PA,Pennsylvania,Allegheny,2020-11-04T01:31:43Z,2020-11-04T01:40:56Z,2020-11-04T01:42:45.597Z,2020-11-04T01:45:51,210398,210398,0,145863,145863,0,145241,145241,0,133094,133094,0,64117,64117,0,12562,12562,0,702,702,0,138,138,0,0,1323
PA,Pennsylvania,Allegheny,2020-11-04T01:57:50Z,2020-11-04T02:03:01Z,2020-11-04T02:05:18.039Z,2020-11-04T02:06:01,210398,210398,0,0,0,0,145241,145241,0,0,0,0,64117,64117,0,0,0,0,702,702,0,0,0,0,0,1323
PA,Pennsylvania,Allegheny,2020-11-04T02:16:56Z,2020-11-04T02:17:03Z,2020-11-04T02:17:44.378Z,2020-11-04T02:20:18,95511,0,95511,-114887,-210398,95511,17847,0,17847,-127394,-145241,17847,76756,0,76756,12639,-64117,76756,908,0,908,206,-702,908,168,1323
PA,Pennsylvania,Allegheny,2020-11-04T02:31:54Z,2020-11-04T02:52:11Z,2020-11-04T02:54:14.585Z,2020-11-04T02:55:04,112017,0,112017,16506,0,16506,20745,0,20745,2898,0,2898,89293,0,89293,12537,0,12537,1379,0,1379,471,0,471,196,1323
PA,Pennsylvania,Allegheny,2020-11-04T03:03:35Z,2020-11-04T03:09:00Z,2020-11-04T03:09:50.458Z,2020-11-04T03:10:22,115041,112748,2293,3024,112748,-109724,21331,20805,526,586,20805,-20219,91254,90993,261,1961,90993,-89032,1736,950,786,357,950,-593,201,1323
PA,Pennsylvania,Allegheny,2020-11-04T03:18:37Z,2020-11-04T03:20:11Z,2020-11-04T03:21:31.107Z,2020-11-04T03:22:06,115041,112748,2293,0,0,0,21331,20805,526,0,0,0,91254,90993,261,0,0,0,1736,950,786,0,0,0,202,1323
PA,Pennsylvania,Allegheny,2020-11-04T03:29:28Z,2020-11-04T03:31:51Z,2020-11-04T03:32:30.412Z,2020-11-04T03:33:21,120088,116431,3657,5047,3683,1364,22424,21514,910,1093,709,384,94385,93932,453,3131,2939,192,2347,985,1362,611,35,576,210,1323
PA,Pennsylvania,Allegheny,2020-11-04T03:59:25Z,2020-11-04T04:04:31Z,2020-11-04T04:05:11.521Z,2020-11-04T04:05:50,125767,120567,5200,5679,4136,1543,23545,22197,1348,1121,683,438,98032,97360,672,3647,3428,219,3029,1010,2019,682,25,657,220,1323
PA,Pennsylvania,Allegheny,2020-11-04T05:08:53Z,2020-11-04T05:14:47Z,2020-11-04T05:17:37.456Z,2020-11-04T05:18:14,129046,127885,1161,3279,7318,-4039,23516,23516,0,-29,1319,-1348,103299,103299,0,5267,5939,-672,1070,1070,0,-1959,60,-2019,220,1323
PA,Pennsylvania,Allegheny,2020-11-04T05:25:44Z,2020-11-04T05:26:57Z,2020-11-04T05:27:57.867Z,2020-11-04T05:28:34,128400,128400,0,-646,515,-1161,23516,23516,0,0,0,0,103299,103299,0,0,0,0,1070,1070,0,0,0,0,0,1323
PA,Pennsylvania,Allegheny,2020-11-04T05:27:53Z,2020-11-04T05:27:57Z,2020-11-04T05:28:28.764Z,2020-11-04T05:28:53,139218,130395,8823,10818,1995,8823,27852,23851,4001,4336,335,4001,109634,104945,4689,6335,1646,4689,1217,1084,133,147,14,133,243,1323
PA,Pennsylvania,Allegheny,2020-11-04T05:50:02Z,2020-11-04T05:54:28Z,2020-11-04T06:03:54.435Z,2020-11-04T06:04:43,230104,150963,79141,90886,20568,70318,71979,27831,44148,44127,3980,40147,155205,121355,33850,45571,16410,29161,2405,1262,1143,1188,178,1010,402,1323
PA,Pennsylvania,Allegheny,2020-11-04T06:03:46Z,2020-11-04T06:03:49Z,2020-11-04T06:04:23.623Z,2020-11-04T06:04:51,284735,150963,133772,54631,0,54631,102084,27831,74253,30105,0,30105,178958,121355,57603,23753,0,23753,3178,1262,1916,773,0,773,498,1323
PA,Pennsylvania,Allegheny,2020-11-04T06:04:22Z,2020-11-04T06:09:00Z,2020-11-04T06:13:02.171Z,2020-11-04T06:13:33,284735,155119,129616,0,4156,-4156,102084,28660,73424,0,829,-829,178958,124645,54313,0,3290,-3290,3178,1299,1879,0,37,-37,498,1323
PA,Pennsylvania,Allegheny,2020-11-04T06:45:49Z,2020-11-04T06:45:51Z,2020-11-04T06:46:13.277Z,2020-11-04T06:46:47,455311,160892,294419,170576,5773,164803,196177,29870,166307,94093,1210,92883,251925,129672,122253,72967,5027,67940,5467,1350,4117,2289,51,2238,798,1323
PA,Pennsylvania,Allegheny,2020-11-04T08:13:47Z,2020-11-04T08:13:48Z,2020-11-04T09:20:38.983Z,2020-11-04T09:21:17,529244,171838,357406,73933,10946,62987,237435,31950,205485,41258,2080,39178,283368,138425,144943,31443,8753,22690,6441,1463,4978,974,113,861,928,1323
PA,Pennsylvania,Allegheny,2020-11-04T10:43:51Z,2020-11-04T16:22:49Z,2020-11-04T16:30:00.949Z,2020-11-04T16:30:52Z,529244,171838,357406,0,0,0,237435,31950,205485,0,0,0,283368,138425,144943,0,0,0,6441,1463,4978,0,0,0,928,1323
PA,Pennsylvania,Allegheny,2020-11-04T17:12:54Z,2020-11-04T17:42:53Z,2020-11-04T17:57:21.547Z,2020-11-04T17:58:09Z,544299,186834,357465,15055,14996,59,240337,34852,205485,2902,2902,0,295326,150383,144943,11958,11958,0,6577,1599,4978,136,136,0,954,1323
PA,Pennsylvania,Allegheny,2020-11-04T17:58:48Z,2020-11-04T17:59:51Z,2020-11-04T18:15:15.698Z,2020-11-04T18:15:58Z,549065,191575,357490,4766,4741,25,241285,35800,205485,948,948,0,299072,154129,144943,3746,3746,0,6624,1646,4978,47,47,0,963,1323
PA,Pennsylvania,Allegheny,2020-11-04T19:45:49Z,2020-11-04T19:46:52Z,2020-11-04T19:52:29.381Z,2020-11-04T19:53:30Z,555734,198216,357518,6669,6641,28,242652,37167,205485,1367,1367,0,304292,159349,144943,5220,5220,0,6678,1700,4978,54,54,0,974,1323
PA,Pennsylvania,Allegheny,2020-11-04T19:56:53Z,2020-11-04T20:13:11Z,2020-11-04T20:14:42.157Z,2020-11-04T20:15:31Z,562220,204670,357550,6486,6454,32,243937,38452,205485,1285,1285,0,309396,164453,144943,5104,5104,0,6743,1765,4978,65,65,0,986,1323
PA,Pennsylvania,Allegheny,2020-11-04T20:18:50Z,2020-11-04T20:18:56Z,2020-11-04T20:23:38.149Z,2020-11-04T20:24:36Z,578434,220817,357617,16214,16147,67,247056,41571,205485,3119,3119,0,322282,177339,144943,12886,12886,0,6885,1907,4978,142,142,0,1014,1323
PA,Pennsylvania,Allegheny,2020-11-04T20:34:53Z,2020-11-04T21:02:54Z,2020-11-04T21:12:48.883Z,2020-11-04T21:13:40Z,593714,236034,357680,15280,15217,63,249967,44482,205485,2911,2911,0,334443,189500,144943,12161,12161,0,7030,2052,4978,145,145,0,1041,1323
PA,Pennsylvania,Allegheny,2020-11-04T22:18:51Z,2020-11-04T22:18:53Z,2020-11-04T22:19:33.085Z,2020-11-04T17:20:39Z,601705,236034,365671,7991,0,7991,251519,44482,207037,1552,0,1552,340811,189500,151311,6368,0,6368,7101,2052,5049,71,0,71,1051,1323
PA,Pennsylvania,Allegheny,2020-11-04T22:19:50Z,2020-11-04T22:36:54Z,2020-11-04T22:39:18.566Z,2020-11-04T22:40:05Z,601737,244025,357712,32,7991,-7959,251519,46034,205485,0,1552,-1552,340811,195868,144943,0,6368,-6368,7101,2123,4978,0,71,-71,1055,1323
PA,Pennsylvania,Allegheny,2020-11-04T22:42:47Z,2020-11-04T22:52:52Z,2020-11-04T22:54:27.393Z,2020-11-04T17:55:27Z,614772,257000,357772,13035,12975,60,253991,48506,205485,2472,2472,0,351202,206259,144943,10391,10391,0,7213,2235,4978,112,112,0,1078,1323
PA,Pennsylvania,Allegheny,2020-11-04T22:54:52Z,2020-11-04T22:56:52Z,2020-11-04T23:01:02.939Z,2020-11-04T23:01:52Z,624121,266305,357816,9349,9305,44,255807,50322,205485,1816,1816,0,358618,213675,144943,7416,7416,0,7286,2308,4978,73,73,0,1094,1323
PA,Pennsylvania,Allegheny,2020-11-04T23:08:53Z,2020-11-04T23:18:51Z,2020-11-04T23:24:27.309Z,2020-11-04T23:25:36Z,631926,274087,357839,7805,7782,23,257327,51842,205485,1520,1520,0,364817,219874,144943,6199,6199,0,7349,2371,4978,63,63,0,1108,1323
PA,Pennsylvania,Allegheny,2020-11-04T23:37:47Z,2020-11-05T00:12:49Z,2020-11-05T00:16:49.306Z,2020-11-05T00:17:25Z,635286,274087,361199,3360,0,3360,259250,51842,207408,1923,0,1923,366182,219874,146308,1365,0,1365,7411,2371,5040,62,0,62,1114,1323
PA,Pennsylvania,Allegheny,2020-11-05T00:37:48Z,2020-11-05T00:39:58Z,2020-11-05T00:45:17.364Z,2020-11-05T00:45:58Z,656423,294351,362072,21137,20264,873,263664,55892,207772,4414,4050,364,382632,235898,146734,16450,16024,426,7609,2561,5048,198,190,8,1151,1323
PA,Pennsylvania,Allegheny,2020-11-05T00:50:48Z,2020-11-05T01:00:53Z,2020-11-05T01:02:56.314Z,2020-11-05T01:03:40Z,662768,300675,362093,6345,6324,21,264938,57166,207772,1274,1274,0,387626,240892,146734,4994,4994,0,7665,2617,5048,56,56,0,1162,1323
PA,Pennsylvania,Allegheny,2020-11-05T01:03:52Z,2020-11-05T01:20:52Z,2020-11-05T01:34:07.386Z,2020-11-04T20:35:15Z,668380,306266,362114,5612,5591,21,266033,58261,207772,1095,1095,0,392061,245327,146734,4435,4435,0,7726,2678,5048,61,61,0,1172,1323
PA,Pennsylvania,Allegheny,2020-11-05T03:15:46Z,2020-11-05T03:15:51Z,2020-11-05T03:41:22.227Z,2020-11-05T03:42:27Z,672929,310796,362133,4549,4530,19,267096,59324,207772,1063,1063,0,395482,248748,146734,3421,3421,0,7772,2724,5048,46,46,0,1180,1323
PA,Pennsylvania,Allegheny,2020-11-05T03:53:41Z,2020-11-05T04:09:54Z,2020-11-05T13:30:34.667Z,2020-11-05T13:31:36Z,674247,310796,363451,1318,0,1318,267838,59324,208514,742,0,742,396042,248748,147294,560,0,560,7784,2724,5060,12,0,12,1182,1323
PA,Pennsylvania,Allegheny,2020-11-06T02:04:34Z,2020-11-06T03:42:34Z,2020-11-06T04:05:29.080Z,2020-11-06T04:06:22Z,675489,310796,364693,1242,0,1242,268340,59324,209016,502,0,502,396767,248748,148019,725,0,725,7796,2724,5072,12,0,12,1185,1323
PA,Pennsylvania,Allegheny,2020-11-07T00:10:37Z,2020-11-07T00:10:39Z,2020-11-07T00:43:16.391Z,2020-11-07T00:44:26Z,680850,316086,364764,5361,5290,71,269527,60400,209127,1187,1076,111,400817,252882,147935,4050,4134,-84,7887,2804,5083,91,80,11,1194,1323
PA,Pennsylvania,Allegheny,2020-11-07T02:40:41Z,2020-11-07T02:40:41Z,2020-11-07T02:42:20.244Z,2020-11-07T02:44:33Z,690106,316086,374020,9256,0,9256,271402,60400,211002,1875,0,1875,408117,252882,155235,7300,0,7300,7947,2804,5143,60,0,60,1211,1323
PA,Pennsylvania,Allegheny,2020-11-07T03:01:42Z,2020-11-07T03:01:43Z,2020-11-07T03:17:47.735Z,2020-11-07T03:18:27Z,690106,325200,364906,0,9114,-9114,271402,62263,209139,0,1863,-1863,408117,260070,148047,0,7188,-7188,7947,2867,5080,0,63,-63,1211,1323
PA,Pennsylvania,Allegheny,2020-11-07T03:41:45Z,2020-11-07T03:41:46Z,2020-11-07T08:59:48.743Z,2020-11-07T09:17:18Z,693307,328394,364913,3201,3194,7,272135,62996,209139,733,733,0,410553,262506,148047,2436,2436,0,7972,2892,5080,25,25,0,1216,1323
PA,Pennsylvania,Allegheny,2020-11-07T16:27:56Z,2020-11-08T15:02:40Z,2020-11-08T15:52:28.431Z,2020-11-08T15:55:00Z,700530,335573,364957,7223,7179,44,274028,64889,209139,1893,1893,0,415737,267690,148047,5184,5184,0,8074,2994,5080,102,102,0,1229,1323
PA,Pennsylvania,Allegheny,2020-11-09T19:29:37Z,2020-11-10T02:15:22Z,2020-11-10T14:26:39.560Z,2020-11-10T14:28:00Z,700979,335573,365406,449,0,449,274348,64889,209459,320,0,320,415861,267690,148171,124,0,124,8079,2994,5085,5,0,5,1229,1323
PA,Pennsylvania,Allegheny,2020-11-11T03:14:22Z,2020-11-11T03:13:44Z,2020-11-11T03:15:21.016Z,2020-11-11T03:16:40Z,700979,335573,365406,0,0,0,274348,64889,209459,0,0,0,415861,267690,148171,0,0,0,8079,2994,5085,0,0,0,1230,1323
PA,Pennsylvania,Allegheny,2020-11-11T03:23:05Z,2020-11-11T03:22:41Z,2020-11-11T03:23:42.270Z,2020-11-11T03:24:39Z,700979,335573,365406,0,0,0,274348,64889,209459,0,0,0,415861,267690,148171,0,0,0,8079,2994,5085,0,0,0,1230,1323
PA,Pennsylvania,Allegheny,2020-11-11T03:25:35Z,2020-11-11T13:42:49Z,2020-11-11T13:46:23.418Z,2020-11-11T13:48:04Z,700979,335573,365406,0,0,0,274348,64889,209459,0,0,0,415861,267690,148171,0,0,0,8079,2994,5085,0,0,0,1230,1323
PA,Pennsylvania,Allegheny,2020-11-11T23:08:53Z,2020-11-12T02:36:41Z,2020-11-12T05:34:40.992Z,2020-11-12T05:39:13,707837,342404,365433,6858,6831,27,275955,66496,209459,1607,1607,0,421004,272833,148171,5143,5143,0,8160,3075,5085,81,81,0,1241,1323
